user_ID,Name,Age,Gender,City,Education_Level,Monthly_Income,Marrige_Status,Date_of_order,Product_order_count,Order_Amount_INR,Wallet_Balance_INR,Total_Order_INR
1,,,Female,,Graduate,52860,Single,10-03-2023,4,,21822,23134
2,,26,Male,Delhi,Graduate,,Single,14-04-2024,1,20495,17493,19110
3,Anjali Agarwal,27,Female,Delhi,10th,25753,Single,,3,6057,13325,14916
4,,20,Female,,Graduate,,Divorced,27-02-2024,4,3171,11955,11995
5,Arjun Jain,28,Male,Delhi,Graduate,35921,,24-05-2024,1,6695,3063,6242
6,,34,,Kolkata,12th,34151,Single,04-03-2024,2,6706,11755,14534
7,,30,Female,Delhi,Graduate,54845,Married,,,,22431,20682
8,Kritika Mehta,28,Female,Ahmedabad,Postgrad,74262,Single,03-03-2025,1,25752,29935,26914
9,,20,Male,Ahmedabad,Postgrad,75110,Married,17-07-2025,1,,31001,31474
10,,27,Male,,12th,27922,Married,09-11-2025,5,1679,,9595
11,,30,Male,Delhi,Graduate,60690,Single,18-10-2024,3,4033,21287,13593
12,,24,Female,,Graduate,51961,Single,01-04-2023,1,14999,17800,12666
13,,33,Female,Mumbai,,86865,Single,17-02-2023,3,9776,,30654
14,,34,Female,Pune,10th,22503,Single,27-10-2025,5,2202,14316,10876
15,Rahul Singh,26,Male,Delhi,Postgrad,75167,Single,30-01-2025,2,9201,28442,23222
16,,33,Male,Mumbai,Graduate,49135,,17-02-2025,2,,17618,22923
17,,28,Male,Delhi,Postgrad,71500,Married,29-07-2024,3,,21708,23526
18,,35,Male,Pune,Postgrad,85541,Single,26-06-2025,5,6220,33765,35265
19,,40,Female,Chennai,Postgrad,88801,Single,12-03-2023,3,9069,25888,30354
20,,23,Female,Delhi,12th,38680,Single,01-06-2024,1,5410,9168,4706
21,,33,Female,Mumbai,Postgrad,64363,Single,03-07-2023,2,11924,27957,25545
22,,36,Male,Delhi,,66616,Single,10-01-2025,0,17981,19588,18570
23,,24,Female,Bengaluru,Graduate,54265,Single,13-11-2023,,29219,26020,26237
24,Anjali Yadav,26,Female,Delhi,12th,31065,Married,15-05-2025,1,7694,7041,7376
25,Riya Agarwal,26,,Bengaluru,10th,35245,Single,07-11-2024,5,2953,16992,14061
26,,,Male,Delhi,,,Single,10-05-2025,1,5555,20131,7574
27,,27,Male,Delhi,Postgrad,73175,Single,23-11-2023,,25606,30470,23230
28,,28,Male,Chennai,Graduate,35614,Single,26-04-2023,1,18426,22285,18272
29,,34,Male,,Graduate,57379,Single,,1,26836,27370,27710
30,Pooja Singh,19,Female,Delhi,Graduate,70422,Single,12-01-2023,2,9291,28714,16420
31,,,Female,Delhi,Graduate,56791,Single,20-02-2023,1,12694,22760,12970
32,,33,Female,Lucknow,Graduate,43436,Single,19-10-2025,0,12424,12855,12343
33,,32,Male,Delhi,Graduate,58112,Married,13-12-2025,2,8626,23601,17142
34,,23,Male,Pune,12th,59820,Married,27-06-2023,4,5012,20477,21734
35,,,Male,Delhi,Graduate,59115,Married,04-12-2024,4,6801,24755,26143
36,,36,Male,Delhi,Graduate,60145,,23-05-2025,2,7874,22007,17195
37,,29,Male,Jaipur,Graduate,71736,Married,10-12-2025,7,5352,29493,32362
38,,23,Male,Pune,Graduate,56195,Single,19-06-2024,3,7900,18431,21799
39,,,Male,Delhi,12th,38901,Single,14-06-2025,2,4127,17280,7770
40,,38,Female,Delhi,,79302,Single,07-03-2025,7,4618,21536,32566
41,,24,Male,Chennai,12th,35447,Single,18-12-2025,6,3225,10976,17457
42,,29,,Lucknow,Postgrad,70871,,15-06-2025,2,,21862,16478
43,Riya Kansal,,Female,Delhi,12th,60406,Married,,2,4183,27349,7652
44,,30,Male,Delhi,Graduate,55690,,10-02-2025,3,8968,17315,24424
45,,19,Female,,Graduate,62746,Married,27-02-2023,2,14325,20173,28369
46,,31,,Jaipur,Graduate,60389,Single,14-12-2025,4,5226,,19133
47,,,Male,Delhi,,46020,Single,15-01-2023,1,15797,14929,15074
48,,22,Male,Mumbai,10th,47183,Single,11-04-2023,,15328,21469,14856
49,,19,Female,Lucknow,12th,52187,,14-02-2023,2,7411,19957,14855
50,,36,Male,Delhi,,,Single,02-07-2025,6,1978,17098,14448
51,,24,Male,Delhi,12th,,Married,12-12-2024,,5452,20189,4727
